p1 p2 p3 p4 pop d1 d2 d3 d4
1124396759 1270206426 464981257 151391955 3010976397 26303825 7490860 8793053 12303220
1145231382 1289565088 470708565 154308859 3059813894 22907178 6961425 8237870 11814694
1170087661 1313748991 476159451 157829092 3117825195 20544889 6374161 7714787 11689081
1202740744 1340489190 481650725 161726968 3186607627 21226303 6395886 7746829 11827368
1235385205 1368436239 488012793 165890606 3257724843 21124527 6365745 7717735 11773944
1264246608 1397160242 495528034 170368055 3327302939 21566423 6649544 7935018 12225792
1290750226 1426863806 503551488 175114897 3396280417 21221251 6493688 7890133 12355598
1314391705 1458737968 511706768 180141473 3464977914 20902957 6416535 7914326 12598884
1338585930 1491574657 520548623 185291683 3536000893 20593128 6334408 7935313 13002719
1363892512 1525113101 530085780 190409280 3609500673 20521098 6308828 8012352 13309515
1388007282 1560231686 539940926 195705771 3683885665 20594087 6348544 8033971 13476873
1411782587 1595246261 550064906 201211426 3758305180 20671133 6892895 8243718 13796267
1433893393 1631129682 560543476 207020767 3832587318 19797458 6275864 7975543 13833093
1455485817 1667381640 571649091 213159204 3907675752 19412931 6210434 7914597 14062697
1478592546 1701300322 583043569 219635190 3982571627 19085516 6193523 7899742 14235853
1501047139 1734128586 594651514 226294554 4056121793 18693256 6315933 7953012 14550961
1522347051 1767379027 606102078 232975361 4128803517 18236157 6299766 7952508 14839922
1538618166 1805976477 617201737 239861559 4201657939 17679240 6092029 7902521 14992126
1546983088 1852859508 628385013 246894039 4275121648 17313577 6096656 7946072 15422617
1555309280 1901833387 639651006 253823372 4350617045 17040267 6071387 7963295 15755884
1567032558 1949966579 651738983 259869268 4428607388 16839567 6075867 8035397 16281172
1580975980 1997613286 665487157 264713307 4508789730 16635922 6087876 8075103 16505763
1598256450 2043956763 680510085 268982848 4591706146 16506750 6095761 8148030 16726808
1614277593 2091915946 695832073 273136033 4675161645 16470006 6121389 8285058 17172752
1628238568 2142283004 710109388 278033555 4758664515 16322688 6159994 8378024 17394612
1643172002 2193768502 722965406 284198557 4844104467 16167577 6180081 8429893 17820071
1659611806 2246044652 735178856 291137578 4931972892 15941076 6168557 8376731 17912564
1678780830 2298494643 746701248 298443515 5022420236 15695953 6271289 8431022 18144777
1698595177 2351192641 757095263 306368249 5113251330 15697162 6392841 8518229 18583516
1719062826 2403106892 767149641 314861459 5204180818 15243760 6354285 8508818 18862526
1741601315 2453428332 777525744 323615293 5296170684 15094235 6502576 8601509 19325199
1762867884 2500357695 789890156 332643084 5385758819 14896491 6613219 8704094 19771166
1781941935 2542566113 805126053 342085017 5471719118 14510003 6731416 8771511 20068324
1799971317 2582308891 821780562 351928766 5555989536 14127244 6863555 8923947 20751645
1814596308 2622394318 839905325 361914002 5638809953 13856858 7259059 9114878 21181962
1825817477 2662915009 860112039 371982543 5720827068 13559148 6984498 9100914 21603376
1834585501 2703296041 882487364 381907869 5802276775 13272832 7038882 9153230 21942463
1840139193 2744019669 907249843 391726642 5883135347 12940040 7035525 9174037 22199511
1844113484 2784276490 933384460 401714066 5963488500 12721600 7170385 9248244 22507370
1847571637 2823480295 960685887 411721514 6043459333 12215951 7164716 9385543 23108618
1849916206 2862916031 989211968 422082478 6124126683 11868778 7153558 9506361 23447429
1850662123 2904153679 1017502318 433191080 6205509200 11517401 7182130 9572538 23682448
1849614514 2945842921 1046537212 444710257 6286704904 11166754 7196536 9699084 24289604
1848490455 2987119661 1075914401 456205783 6367730300 10773161 7205011 9824229 24914633
1847493172 3030435490 1103639629 467555756 6449124047 10506640 7255035 9929154 25134703
1845903891 3075647590 1130602340 478938504 6531092325 10106006 7170341 10021659 25774179
1846821279 3119175336 1157558641 490328912 6613884168 9726318 7081293 10061532 26000498
1852143520 3155574466 1189115806 501144118 6697977910 9426651 7050493 10222303 26545100
1860466504 3182837203 1228453646 511444768 6783202121 9217377 7064045 10485062 27111712
1870876871 3207011813 1269623819 521988070 6869500573 8848709 6893527 10625231 27380398
1882353998 3231693606 1309397076 532949214 6956393894 8611487 6817059 10844605 27892941
1894994383 3255848986 1346917411 545757112 7043517892 8297731 6666857 11003315 28258259
1909753529 3279678781 1381022339 561244008 7131698657 8070181 6577005 11166460 28805278
1925614714 3300868645 1415310550 578415084 7220208993 7827423 6457717 11339870 29235555
1941235700 3319696682 1450100309 597224986 7308257677 7579495 6350173 11471068 29632974
1955469724 3338597955 1483701122 617721866 7395490667 7350138 6276272 11637742 30442125
1968693643 3357966742 1515914042 639566831 7482141258 7127948 6219871 11758211 30887956
1981848407 3378407703 1545486229 662911448 7568653787 6903171 6179006 11876567 31794916
1992814754 3399803669 1573482204 687244870 7653345497 6702871 6127786 11912670 32395185
2000764555 3422257338 1599920250 712404760 7735346903 6516728 6104004 11978048 33129149
2005468194 3446265131 1622926066 737158686 7811818077 6315388 6228278 13395380 37013430
